IMP,Year,Shipping_From,Ship_via,Customer,FLT#/Vessle#,Original_Need_Date,CEB_authorized_date,Forwarder,Gross_weight(kg),Pickup_day,ETD_port,ETA_Santos_or_VCP,Sailing_TAT,DI_register_date,Customs_clearance_date,Clearance_TAT,KPI_expect_arrive_CEB_date,FIRM_ARRIVAL_on_CEB,CEB_LGC_estimated_receiving_date,Door_to_Door_TAT,International_Transportation_Cost_(USD),Channel
BSP1900545,2019,Miami,Air,A31,ATLAS,07/17/19,07/16/19,EI,19.5,07/16/19,07/16/19,07/17/19,1,07/18/19,07/18/19,1,07/16/19,07/18/19,07/19/19,2,599.26,Green
BSP1900544,2019,SGN,Air,ABO,FEDEX,07/20/19,07/16/19,FEDEX,8.23,07/16/19,07/16/19,07/17/19,1,07/18/19,07/18/19,1,07/16/19,07/18/19,07/19/19,2,123.41,Green
BSP1900543,2019,SGN,Air,ABO,FEDEX,07/20/19,07/16/19,FEDEX,20.5,07/16/19,07/16/19,07/17/19,1,07/18/19,07/18/19,1,07/16/19,07/18/19,07/19/19,2,236.88,Green
BSP1900542,2019,Miami,Air,A31,ATLAS,07/16/19,07/15/19,EI,16,07/15/19,07/15/19,07/16/19,1,07/17/19,07/17/19,1,07/15/19,07/17/19,07/19/19,2,599.26,Green
IMP1900536,2019,CD,Air,A31_Wistron,KLM,43504,43776,Weida,4,43806,07/15/19,07/17/19,5,07/17/19,07/17/19,0,43806,07/17/19,07/19/19,5,530,Green
BSP1900524,2019,CTU,Air,ABO,FEDEX,07/15/19,43776,FEDEX,12.85,43684,43715,07/17/19,9,07/18/19,07/18/19,1,43684,07/18/19,07/19/19,10,198.5,Green
BSP1900531,2019,HKG,Air,ABO,KLM,07/25/19,43745,Agility,1234.5,43806,07/15/19,07/17/19,5,07/17/19,07/17/19,0,43806,07/17/19,07/19/19,5,7073.69,Green
BSP1900530,2019,SGN,Air,ABO,FEDEX,,43745,FEDEX,10.05,43745,43745,43806,2,07/15/19,07/15/19,3,43745,07/15/19,07/15/19,5,123.41,Green
BSP1900527,2019,CTU,Air,ABO,FEDEX,07/15/19,43684,FEDEX,89.57,43684,43684,43806,4,07/15/19,07/15/19,3,43684,07/15/19,07/15/19,7,1107.9,Green
BSP1900523,2019,SGN,Air,ABO,FEDEX,07/15/19,43684,FEDEX,28.7,43684,43715,43776,3,43806,43806,1,43684,43806,07/17/19,4,245.34,Green
BSP1900522,2019,Miami,Air,A31,ATLAS,43745,43745,EI,13,43715,43745,43745,1,43776,43776,1,43715,43776,43806,2,599.26,Green
BSP1900521,2019,SGN,Air,ABO,FEDEX,43745,43745,FEDEX,14.8,43592,43653,43684,3,43745,43745,2,43592,43745,43776,5,142.66,Green
